sample_name	bam	species	population	status
MORC_1	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Cle_1.bam	domesticus	MORC	Africa
MORC_2	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Cle_2.bam	domesticus	MORC	Africa
MORC_3	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Cle_3.bam	domesticus	MORC	Africa
MORC_4	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Cle_4.bam	domesticus	MORC	Africa
MORC_5	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Cle_5.bam	domesticus	MORC	Africa
MORC_6	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Cle_6.bam	domesticus	MORC	Africa
MORC_7	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Cle_7.bam	domesticus	MORC	Africa
MORC_8	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Cle_8.bam	domesticus	MORC	Africa
MORT_1	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_1.bam	domesticus	MORT	Africa
MORT_2	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_2.bam	domesticus	MORT	Africa
MORT_3	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_3.bam	domesticus	MORT	Africa
MORT_4	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_4.bam	domesticus	MORT	Africa
MORT_5	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_5.bam	domesticus	MORT	Africa
MORT_6	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_6.bam	domesticus	MORT	Africa
MORT_7	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_7.bam	domesticus	MORT	Africa
MORT_8	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_8.bam	domesticus	MORT	Africa
MORT_9	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_9.bam	domesticus	MORT	Africa
MORT_10	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_10.bam	domesticus	MORT	Africa
MORT_11	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_11.bam	domesticus	MORT	Africa
MORT_12	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_12.bam	domesticus	MORT	Africa
MORT_13	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_13.bam	domesticus	MORT	Africa
MORT_14	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_14.bam	domesticus	MORT	Africa
MORT_15	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_15.bam	domesticus	MORT	Africa
MORT_16	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_16.bam	domesticus	MORT	Africa
MORT_17	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_17.bam	domesticus	MORT	Africa
MORT_18	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_18.bam	domesticus	MORT	Africa
MORT_19	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_19.bam	domesticus	MORT	Africa
MORT_20	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Tan_20.bam	domesticus	MORT	Africa
TUNB_1	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_1.bam	domesticus	TUNB	Africa
TUNB_2	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_2.bam	domesticus	TUNB	Africa
TUNB_3	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_3.bam	domesticus	TUNB	Africa
TUNB_4	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_4.bam	domesticus	TUNB	Africa
TUNB_5	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_5.bam	domesticus	TUNB	Africa
TUNB_6	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_6.bam	domesticus	TUNB	Africa
TUNB_7	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_7.bam	domesticus	TUNB	Africa
TUNB_8	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_8.bam	domesticus	TUNB	Africa
TUNB_9	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_9.bam	domesticus	TUNB	Africa
TUNB_10	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_10.bam	domesticus	TUNB	Africa
TUNB_11	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_11.bam	domesticus	TUNB	Africa
TUNB_12	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_12.bam	domesticus	TUNB	Africa
TUNB_13	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_13.bam	domesticus	TUNB	Africa
TUNB_14	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_14.bam	domesticus	TUNB	Africa
TUNB_15	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_15.bam	domesticus	TUNB	Africa
TUNB_16	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_16.bam	domesticus	TUNB	Africa
TUNB_17	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_17.bam	domesticus	TUNB	Africa
TUNB_18	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_18.bam	domesticus	TUNB	Africa
TUNB_19	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_19.bam	domesticus	TUNB	Africa
TUNB_20	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bem_20.bam	domesticus	TUNB	Africa
MALB_1	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_1.bam	domesticus	MALB	Africa
MALB_2	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_2.bam	domesticus	MALB	Africa
MALB_3	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_3.bam	domesticus	MALB	Africa
MALB_4	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_4.bam	domesticus	MALB	Africa
MALB_5	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_5.bam	domesticus	MALB	Africa
MALB_6	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_6.bam	domesticus	MALB	Africa
MALB_7	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_7.bam	domesticus	MALB	Africa
MALB_8	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_8.bam	domesticus	MALB	Africa
MALB_9	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_9.bam	domesticus	MALB	Africa
MALB_10	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_10.bam	domesticus	MALB	Africa
MALB_11	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_11.bam	domesticus	MALB	Africa
MALB_12	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_12.bam	domesticus	MALB	Africa
MALB_13	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_13.bam	domesticus	MALB	Africa
MALB_14	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_14.bam	domesticus	MALB	Africa
MALB_15	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_15.bam	domesticus	MALB	Africa
MALB_16	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_16.bam	domesticus	MALB	Africa
MALB_17	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_17.bam	domesticus	MALB	Africa
MALB_18	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_18.bam	domesticus	MALB	Africa
MALB_19	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_19.bam	domesticus	MALB	Africa
MALB_20	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_20.bam	domesticus	MALB	Africa
MALB_21	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_21.bam	domesticus	MALB	Africa
MALB_22	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Bam_22.bam	domesticus	MALB	Africa
SENK_1	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_1.bam	domesticus	SENK	Africa
SENK_2	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_2.bam	domesticus	SENK	Africa
SENK_3	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_3.bam	domesticus	SENK	Africa
SENK_4	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_4.bam	domesticus	SENK	Africa
SENK_5	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_5.bam	domesticus	SENK	Africa
SENK_6	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_6.bam	domesticus	SENK	Africa
SENK_7	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_7.bam	domesticus	SENK	Africa
SENK_8	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_8.bam	domesticus	SENK	Africa
SENK_9	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_9.bam	domesticus	SENK	Africa
SENK_10	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_10.bam	domesticus	SENK	Africa
SENK_11	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_11.bam	domesticus	SENK	Africa
SENK_12	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_12.bam	domesticus	SENK	Africa
SENK_13	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_13.bam	domesticus	SENK	Africa
SENK_14	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_14.bam	domesticus	SENK	Africa
SENK_15	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_15.bam	domesticus	SENK	Africa
SENK_16	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_16.bam	domesticus	SENK	Africa
SENK_17	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_17.bam	domesticus	SENK	Africa
SENK_18	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_18.bam	domesticus	SENK	Africa
SENK_19	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_19.bam	domesticus	SENK	Africa
SENK_20	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_20.bam	domesticus	SENK	Africa
SENK_21	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_21.bam	domesticus	SENK	Africa
SENK_22	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dak_22.bam	domesticus	SENK	Africa
SEND_1	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dod_1.bam	domesticus	SEND	Africa
SEND_2	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dod_2.bam	domesticus	SEND	Africa
SEND_3	/home/dpoveda/micetral/steps/04_filtered_bam/bam_micetral/Dod_3.bam	domesticus	SEND	Africa
