BENC	FRAF	FRAM	FRAT	GABF	GABM	GABN	GERC	IRAA	ITAC	LEBE	MALB	MORC	MORT	NIGN	SEND	SENK	SENS	SPAC	TUNB	USAF	OUTGROUP
0,32	0,32	0,16	8,24	1,23	0,32	2,10	17,5	0,16	0,30	1,19	19,23	0,12	0,36	0,30	6,32	26,16	5,33	1,15	1,29	3,5	16,0
0,32	2,30	0,16	1,31	19,5	3,29	1,11	0,22	0,16	0,30	0,20	2,40	9,3	10,26	0,30	0,38	1,41	0,38	0,16	0,30	2,6	0,16
0,32	0,32	0,16	0,32	0,24	0,32	0,12	0,22	2,14	0,30	6,14	0,42	5,7	10,26	0,30	0,38	6,36	0,38	0,16	0,30	3,5	0,16
0,32	0,32	3,13	14,18	0,24	0,32	0,12	6,16	0,16	0,30	0,20	0,42	0,12	0,36	15,15	26,12	1,41	0,38	1,15	0,30	0,8	0,16
18,14	32,0	16,0	29,3	24,0	7,25	5,7	15,7	13,3	30,0	12,8	16,26	12,0	34,2	1,29	23,15	22,20	13,25	16,0	28,2	5,3	16,0
22,10	21,11	16,0	26,6	24,0	11,21	9,3	19,3	10,6	29,1	8,12	33,9	5,7	29,7	0,30	34,4	38,4	13,25	3,13	29,1	6,2	0,16
0,32	1,31	0,16	0,32	0,24	21,11	5,7	3,19	4,12	0,30	1,19	3,39	1,11	17,19	17,13	0,38	1,41	0,38	9,7	0,30	0,8	16,0
32,0	32,0	16,0	31,1	24,0	32,0	12,0	21,1	16,0	30,0	11,9	16,26	12,0	36,0	18,12	32,6	36,6	16,22	16,0	29,1	5,3	16,0
28,4	17,15	8,8	0,32	23,1	9,23	1,11	15,7	5,11	9,21	2,18	21,21	1,11	7,29	0,30	10,28	35,7	15,23	0,16	21,9	3,5	0,16
26,6	32,0	15,1	28,4	24,0	32,0	12,0	22,0	11,5	30,0	17,3	21,21	10,2	36,0	17,13	34,4	36,6	12,26	16,0	30,0	4,4	16,0
10,22	1,31	0,16	0,32	0,24	0,32	2,10	0,22	6,10	1,29	5,15	0,42	2,10	4,32	14,16	3,35	0,42	7,31	0,16	1,29	0,8	0,16
32,0	32,0	16,0	31,1	24,0	32,0	12,0	17,5	16,0	30,0	20,0	8,34	12,0	36,0	30,0	25,13	17,25	11,27	16,0	29,1	4,4	16,0
9,23	5,27	3,13	6,26	1,23	19,13	4,8	1,21	5,11	10,20	11,9	8,34	5,7	9,27	14,16	13,25	14,28	7,31	16,0	5,25	3,5	16,0
7,25	23,9	14,2	28,4	0,24	26,6	9,3	10,12	5,11	26,4	7,13	3,39	6,6	30,6	0,30	26,12	11,31	7,31	13,3	16,14	4,4	16,0
22,10	21,11	14,2	28,4	16,8	32,0	12,0	20,2	6,10	27,3	16,4	7,35	7,5	25,11	30,0	25,13	14,28	8,30	16,0	29,1	2,6	0,16
3,29	0,32	0,16	0,32	16,8	7,25	2,10	5,17	0,16	0,30	0,20	1,41	1,11	15,21	29,1	0,38	1,41	0,38	0,16	0,30	1,7	0,16
16,16	29,3	16,0	27,5	21,3	32,0	10,2	14,8	15,1	28,2	20,0	7,35	11,1	36,0	29,1	24,14	14,28	19,19	16,0	29,1	8,0	1,15
29,3	22,10	14,2	19,13	5,19	3,29	4,8	10,12	10,6	28,2	8,12	15,27	7,5	9,27	0,30	31,7	28,14	10,28	11,5	18,12	3,5	16,0
1,31	2,30	0,16	0,32	5,19	20,12	4,8	0,22	11,5	1,29	13,7	1,41	0,12	0,36	0,30	1,37	9,33	12,26	5,11	4,26	0,8	16,0
14,18	18,14	11,5	8,24	23,1	6,26	5,7	17,5	1,15	30,0	7,13	23,19	8,4	21,15	13,17	32,6	36,6	10,28	12,4	24,6	5,3	16,0
0,32	2,30	1,15	0,32	0,24	0,32	0,12	0,22	9,7	0,30	11,9	0,42	0,12	0,36	9,21	0,38	1,41	0,38	0,16	6,24	0,8	16,0
31,1	14,18	15,1	32,0	24,0	12,20	9,3	12,10	6,10	30,0	5,15	39,3	12,0	36,0	30,0	37,1	29,13	30,8	16,0	22,8	7,1	0,16
32,0	20,12	16,0	32,0	7,17	3,29	10,2	11,11	7,9	30,0	15,5	37,5	8,4	19,17	22,8	37,1	33,9	28,10	16,0	16,14	8,0	0,16
1,31	4,28	1,15	0,32	18,6	20,12	3,9	1,21	2,14	3,27	1,19	0,42	5,7	22,14	7,23	0,38	2,40	0,38	0,16	6,24	0,8	0,16
13,19	9,23	14,2	26,6	2,22	0,32	0,12	8,14	4,12	23,7	3,17	9,33	5,7	5,31	0,30	32,6	26,16	27,11	0,16	10,20	0,8	0,16
0,32	5,27	1,15	1,31	0,24	0,32	0,12	7,15	0,16	0,30	2,18	3,39	0,12	0,36	0,30	0,38	5,37	0,38	0,16	0,30	0,8	16,0
21,11	24,8	16,0	32,0	24,0	32,0	11,1	19,3	16,0	30,0	20,0	40,2	12,0	36,0	30,0	36,2	37,5	38,0	16,0	23,7	6,2	16,0
